T^{-1},T,E,M,C_v,Chi
1.666667,0.600000,-1.000000,0.250000,0.000000,156.250000
1.428571,0.700000,-1.000000,0.250000,0.000000,133.928571
1.250000,0.800000,-1.000000,0.250000,0.000000,117.187500
1.111111,0.900000,-1.000000,0.250000,0.000000,104.166667
1.000000,1.000000,-1.000000,0.250000,0.000000,93.750000
0.909091,1.100000,-1.000000,0.250000,0.000000,85.227273
0.833333,1.200000,-1.000000,0.250000,0.000000,78.125000
0.769231,1.300000,-0.998400,0.249800,0.014996,71.896612
0.714286,1.400000,-1.000000,0.250000,0.000000,66.964286
0.666667,1.500000,-0.987200,0.248400,0.083740,60.983029
0.625000,1.600000,-0.834400,0.202000,1.991275,44.149750
0.588235,1.700000,-0.980800,0.247600,0.093542,53.139191
0.555556,1.800000,-0.949600,0.243200,0.200119,47.170987
0.526316,1.900000,-0.973600,0.246000,0.138478,46.967368
0.500000,2.000000,-0.904800,0.236600,0.277424,38.689022
0.476190,2.100000,-0.912000,0.238600,0.300408,37.526764
0.454545,2.200000,-0.925600,0.239800,0.230757,36.836362
0.434783,2.300000,-0.800000,0.208600,0.889225,27.979393
0.416667,2.400000,-0.738400,0.201400,0.844122,23.053918
0.400000,2.500000,-0.573600,-0.083800,0.809073,14.902462
0.384615,2.600000,-0.612800,0.054400,0.921600,16.725563
0.370370,2.700000,-0.516000,0.151000,0.673141,10.834333
0.357143,2.800000,-0.473600,-0.126600,0.671314,9.317873
0.344828,2.900000,-0.245600,0.001800,0.193682,2.641543
0.333333,3.000000,-0.619200,0.185600,0.267548,12.434688
0.322581,3.100000,-0.596000,0.179800,0.422726,11.726192
0.312500,3.200000,-0.452000,0.026200,0.467969,7.860549
0.303030,3.300000,-0.545600,-0.160600,0.384212,9.506898
0.294118,3.400000,-0.436000,-0.067600,0.248443,6.301360
0.285714,3.500000,-0.328000,0.042600,0.166139,3.603464
0.277778,3.600000,-0.398400,-0.099800,0.213807,4.901999
0.270270,3.700000,-0.253600,0.028400,0.138430,2.228579
0.263158,3.800000,-0.268000,0.032000,0.142161,2.403368
0.256410,3.900000,-0.263200,-0.069800,0.077671,1.954255
0.250000,4.000000,-0.253600,-0.065200,0.241644,2.468124
0.243902,4.100000,-0.279200,-0.008400,0.116879,2.378767
0.238095,4.200000,-0.204000,0.028800,0.084444,1.325775
0.232558,4.300000,-0.166400,-0.001800,0.105349,1.096855
0.227273,4.400000,-0.220800,0.041000,0.092311,1.475977
0.222222,4.500000,-0.253600,0.041000,0.067037,1.693489
0.217391,4.600000,-0.185600,0.015200,0.121213,1.301412
0.212766,4.700000,-0.177600,-0.009600,0.076533,1.028848
0.208333,4.800000,-0.172800,0.014600,0.107344,1.132893
0.204082,4.900000,-0.257600,-0.097800,0.141317,1.851493
0.200000,5.000000,-0.248800,0.039000,0.121802,1.816620
0.196078,5.100000,-0.217600,-0.030000,0.103138,1.436784
0.192308,5.200000,-0.195200,0.000400,0.093169,1.217228
0.188679,5.300000,-0.205600,-0.036600,0.129529,1.458801
0.185185,5.400000,-0.242400,0.029800,0.055947,1.373777
0.181818,5.500000,-0.224000,-0.036000,0.075954,1.306473
0.178571,5.600000,-0.140800,-0.036400,0.071273,0.729483
0.175439,5.700000,-0.148000,-0.000800,0.070668,0.787076
0.172414,5.800000,-0.160000,0.033800,0.064114,0.793544
0.169492,5.900000,-0.153600,-0.005600,0.045295,0.666587
0.166667,6.000000,-0.139200,-0.015600,0.062976,0.696744
0.163934,6.100000,-0.172800,0.029800,0.051331,0.788065
0.161290,6.200000,-0.161600,0.018400,0.054104,0.751185
0.158730,6.300000,-0.193600,-0.039200,0.081167,1.081895
0.156250,6.400000,-0.135200,-0.004400,0.029905,0.476698
0.153846,6.500000,-0.189600,-0.028600,0.033827,0.760339
0.151515,6.600000,-0.156000,0.021800,0.052709,0.709405
0.149254,6.700000,-0.177600,0.049400,0.053344,0.791756
0.147059,6.800000,-0.144000,-0.009600,0.043875,0.601939
0.144928,6.900000,-0.065600,-0.007800,0.041640,0.348799
0.142857,7.000000,-0.128000,0.023200,0.033306,0.459511
0.140845,7.100000,-0.122400,0.033800,0.041758,0.491402
0.138889,7.200000,-0.139200,-0.004400,0.024721,0.446842
0.136986,7.300000,-0.143200,0.005800,0.037061,0.550991
0.135135,7.400000,-0.204800,-0.035400,0.045772,0.888579
0.133333,7.500000,-0.108000,-0.010400,0.038770,0.444851
0.131579,7.600000,-0.108000,0.034400,0.042188,0.458535
0.129870,7.700000,-0.112000,-0.018600,0.027094,0.367039
0.128205,7.800000,-0.130400,0.010800,0.024122,0.404658
0.126582,7.900000,-0.104000,0.000400,0.027483,0.354023
0.125000,8.000000,-0.108000,0.026600,0.027675,0.358356
0.123457,8.100000,-0.155200,0.028600,0.043373,0.638593
0.121951,8.200000,-0.103200,0.002000,0.028611,0.364439
0.120482,8.300000,-0.096800,0.016200,0.029226,0.352308
0.119048,8.400000,-0.124000,0.004200,0.021655,0.364742
0.117647,8.500000,-0.123200,0.026600,0.025852,0.389982
0.116279,8.600000,-0.074400,0.008800,0.022889,0.260309
0.114943,8.700000,-0.107200,-0.000400,0.027010,0.367079
0.113636,8.800000,-0.088000,0.009200,0.018347,0.248493
0.112360,8.900000,-0.129600,-0.000400,0.014912,0.321436
0.111111,9.000000,-0.072800,0.012600,0.032410,0.348814
0.109890,9.100000,-0.132000,-0.013000,0.015824,0.333615
0.108696,9.200000,-0.116800,0.025800,0.029326,0.410852
0.107527,9.300000,-0.126400,0.000400,0.016084,0.321375
0.106383,9.400000,-0.065600,-0.001000,0.015773,0.194032
0.105263,9.500000,-0.054400,0.031000,0.014520,0.158979
0.104167,9.600000,-0.146400,0.003400,0.024452,0.457880
0.103093,9.700000,-0.140800,-0.006400,0.023075,0.427784
0.102041,9.800000,-0.059200,0.017400,0.022806,0.256176
0.101010,9.900000,-0.120000,-0.032200,0.025859,0.390981
0.100000,10.000000,-0.159200,-0.000400,0.017087,0.424318
0.099010,10.100000,-0.107200,-0.007800,0.019414,0.309259
